名称	类型	长度	小数点	不是 Null	虚拟	键	虚拟类型	表达式	枚举值	默认值	注释	存储	列格式	字符集	排序规则	键长度	键排序	永远生成	根据当前时间戳更新	二进制	自动递增	无符号	填充零
id	bigint			true	false	true					主键ID					0	ASC	false	false	false	true	false	false
name	varchar	100		true	false	false					药材名称			utf8mb4	utf8mb4_0900_ai_ci			false	false	false	false	false	false
pinyin	varchar	200		false	false	false				NULL	拼音（用于模糊搜索）			utf8mb4	utf8mb4_0900_ai_ci			false	false	false	false	false	false
alias	text			false	false	false				NULL				utf8mb4	utf8mb4_0900_ai_ci			false	false	false	false	false	false
category	varchar	50		true	false	false					药材类别			utf8mb4	utf8mb4_0900_ai_ci			false	false	false	false	false	false
nature	varchar	50		false	false	false				NULL	药性（寒/热/温/凉/平）			utf8mb4	utf8mb4_0900_ai_ci			false	false	false	false	false	false
taste	varchar	100		false	false	false				NULL	味（甘苦辛酸咸涩）			utf8mb4	utf8mb4_0900_ai_ci			false	false	false	false	false	false
meridian	varchar	200		false	false	false				NULL	归经			utf8mb4	utf8mb4_0900_ai_ci			false	false	false	false	false	false
efficacy_summary	text			false	false	false				NULL	功效概述（一句话）			utf8mb4	utf8mb4_0900_ai_ci			false	false	false	false	false	false
efficacy_detail	text			false	false	false				NULL	详细功效描述			utf8mb4	utf8mb4_0900_ai_ci			false	false	false	false	false	false
indication	text			false	false	false				NULL	主治病症			utf8mb4	utf8mb4_0900_ai_ci			false	false	false	false	false	false
usage_dosage	text			false	false	false				NULL				utf8mb4	utf8mb4_0900_ai_ci			false	false	false	false	false	false
contraindication	text			false	false	false				NULL	禁忌症/注意事项			utf8mb4	utf8mb4_0900_ai_ci			false	false	false	false	false	false
toxicity	varchar	100		false	false	false				NULL	毒性等级（无毒/小毒/有毒/大毒）			utf8mb4	utf8mb4_0900_ai_ci			false	false	false	false	false	false
processing_method	text			false	false	false				NULL				utf8mb4	utf8mb4_0900_ai_ci			false	false	false	false	false	false
source_origin	text			false	false	false				NULL				utf8mb4	utf8mb4_0900_ai_ci			false	false	false	false	false	false
appearance	text			false	false	false				NULL				utf8mb4	utf8mb4_0900_ai_ci			false	false	false	false	false	false
image_url	text			false	false	false				NULL				utf8mb4	utf8mb4_0900_ai_ci			false	false	false	false	false	false
model_3d_url	text			false	false	false				NULL				utf8mb4	utf8mb4_0900_ai_ci			false	false	false	false	false	false
classic_prescription	text			false	false	false				NULL	经典方剂（含此药的名方）			utf8mb4	utf8mb4_0900_ai_ci			false	false	false	false	false	false
modern_research	text			false	false	false				NULL	现代研究进展			utf8mb4	utf8mb4_0900_ai_ci			false	false	false	false	false	false
reference_source	text			false	false	false				NULL				utf8mb4	utf8mb4_0900_ai_ci			false	false	false	false	false	false
view_count	int			false	false	false				0								false	false	false	false	false	false
collect_count	int			false	false	false				0								false	false	false	false	false	false
is_deleted	tinyint			false	false	false				0								false	false	false	false	false	false
create_time	datetime			false	false	false				CURRENT_TIMESTAMP								false	false	false	false	false	false
update_time	datetime			false	false	false				CURRENT_TIMESTAMP								false	true	false	false	false	false
